confidence,currentSpeed,currentTravelTime,freeFlowSpeed,freeFlowTravelTime,latitude,local,longitude,transito,record_date
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 17:50:00
1.0,47,137,72,89,41.557563,Braga Parque,-8.4072979,0.348793592862936,2022-04-06 17:50:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 17:50:00
1.0,23,61,36,39,41.5488151,Estação de Comboios,-8.4336238,0.3608834244080146,2022-04-06 17:50:00
0.989020049341446,24,160,53,72,41.5556929,Meliá,-8.3992663,0.5425614704641989,2022-04-06 17:50:00
0.974785196361516,27,194,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.34741976070616615,2022-04-06 17:50:00
0.990000009536743,37,92,49,69,41.5351848,Bosh,-8.437027,0.24497449215577569,2022-04-06 17:50:00
0.990000009536743,29,133,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.4968609070419368,2022-04-06 17:50:00
0.990000009536743,21,46,39,25,41.5593592,Real Taberna,-8.4462021,0.4544398037087557,2022-04-06 17:50:00
0.990000009536743,4,29,20,5,41.5498311,Sé de Braga,-8.4285616,0.8056551801747288,2022-04-06 17:50:00
0.994510024670723,24,160,54,71,41.5556929,Meliá,-8.3992663,0.5528508852423013,2022-04-06 18:00:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 18:00:00
1.0,31,110,49,69,41.5351848,Bosh,-8.437027,0.3700371057513913,2022-04-06 18:00:00
1.0,44,146,73,88,41.557563,Braga Parque,-8.4072979,0.3972602739726028,2022-04-06 18:00:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 18:00:00
1.0,21,67,37,38,41.5488151,Estação de Comboios,-8.4336238,0.4326341266639775,2022-04-06 18:00:00
0.9768656412256612,32,164,41,128,41.5436167,Rotunda Santos da Cunha,-8.432434,0.21443392124465732,2022-04-06 18:00:00
0.980000019073486,36,107,57,68,41.5278372,Hospital Privado de Braga,-8.417844,0.3591244536201413,2022-04-06 18:00:00
0.980000019073486,28,34,39,25,41.5593592,Real Taberna,-8.4462021,0.2679110157723518,2022-04-06 18:00:00
0.990000009536743,4,29,16,7,41.5498311,Sé de Braga,-8.4285616,0.7467672485729743,2022-04-06 18:00:00
0.994510024670723,28,137,54,71,41.5556929,Meliá,-8.3992663,0.4789725896055401,2022-04-06 18:10:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 18:10:00
1.0,34,100,49,69,41.5351848,Bosh,-8.437027,0.308061224489796,2022-04-06 18:10:00
1.0,42,153,74,87,41.557563,Braga Parque,-8.4072979,0.4319024907260201,2022-04-06 18:10:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 18:10:00
1.0,21,67,37,38,41.5488151,Estação de Comboios,-8.4336238,0.4326341266639775,2022-04-06 18:10:00
0.980000019073486,45,86,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.22378107893438248,2022-04-06 18:10:00
0.990000009536743,25,39,38,25,41.5593592,Real Taberna,-8.4462021,0.34703441629847365,2022-04-06 18:10:00
0.9684328350157392,31,169,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.2528867652439662,2022-04-06 18:10:00
0.980000019073486,6,19,18,6,41.5498311,Sé de Braga,-8.4285616,0.6619298374443721,2022-04-06 18:10:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 18:20:00
0.990000009536743,30,113,49,69,41.5351848,Bosh,-8.437027,0.3846821420477339,2022-04-06 18:20:00
1.0,47,137,73,88,41.557563,Braga Parque,-8.4072979,0.3569143085691431,2022-04-06 18:20:00
1.0,54,47,74,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.2734330074755606,2022-04-06 18:20:00
1.0,13,108,36,39,41.5488151,Estação de Comboios,-8.4336238,0.6388888888888888,2022-04-06 18:20:00
0.994510024670723,25,153,54,71,41.5556929,Meliá,-8.3992663,0.5335470448260687,2022-04-06 18:20:00
0.9613086315212832,29,181,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.2974846824064481,2022-04-06 18:20:00
0.980000019073486,26,149,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.5432978582945003,2022-04-06 18:20:00
0.980000019073486,27,36,39,25,41.5593592,Real Taberna,-8.4462021,0.30049145883984024,2022-04-06 18:20:00
0.970000028610229,2,58,16,7,41.5498311,Sé de Braga,-8.4285616,0.8508405423369898,2022-04-06 18:20:00
1.0,43,150,73,88,41.557563,Braga Parque,-8.4072979,0.4121461187214612,2022-04-06 18:30:00
0.994510024670723,29,132,53,72,41.5556929,Meliá,-8.3992663,0.45119708666450464,2022-04-06 18:30:00
0.8600562374403801,30,175,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.2457303535543943,2022-04-06 18:30:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 18:30:00
0.970000028610229,32,106,49,69,41.5351848,Bosh,-8.437027,0.33755776890893135,2022-04-06 18:30:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 18:30:00
1.0,12,117,36,39,41.5488151,Estação de Comboios,-8.4336238,0.6666666666666667,2022-04-06 18:30:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 18:30:00
0.970000028610229,23,42,38,25,41.5593592,Real Taberna,-8.4462021,0.38775690366749754,2022-04-06 18:30:00
0.980000019073486,4,29,20,5,41.5498311,Sé de Braga,-8.4285616,0.7975172569011817,2022-04-06 18:30:00
1.0,43,150,74,87,41.557563,Braga Parque,-8.4072979,0.4194594594594595,2022-04-06 18:40:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 18:40:00
1.0,20,70,36,39,41.5488151,Estação de Comboios,-8.4336238,0.4436507936507936,2022-04-06 18:40:00
0.994510024670723,38,101,54,71,41.5556929,Meliá,-8.3992663,0.2950343270842006,2022-04-06 18:40:00
0.863683107230353,30,175,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.24676660206581513,2022-04-06 18:40:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 18:40:00
0.9599999785423272,31,110,48,71,41.5351848,Bosh,-8.437027,0.3401818105781617,2022-04-06 18:40:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 18:40:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 18:40:00
0.990000009536743,6,19,17,6,41.5498311,Sé de Braga,-8.4285616,0.6589783345213615,2022-04-06 18:40:00
1.0,53,121,73,88,41.557563,Braga Parque,-8.4072979,0.2733499377334993,2022-04-06 18:50:00
0.994510024670723,32,120,53,72,41.5556929,Meliá,-8.3992663,0.39592757585947647,2022-04-06 18:50:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 18:50:00
0.970000028610229,31,110,48,71,41.5351848,Bosh,-8.437027,0.34372538892608673,2022-04-06 18:50:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 18:50:00
1.0,28,50,36,39,41.5488151,Estação de Comboios,-8.4336238,0.221111111111111,2022-04-06 18:50:00
0.963109479202422,37,104,57,68,41.5278372,Hospital Privado de Braga,-8.417844,0.3356586005452435,2022-04-06 18:50:00
0.980000019073486,29,33,38,25,41.5593592,Real Taberna,-8.4462021,0.23484051493746608,2022-04-06 18:50:00
0.8603733970907741,34,154,41,128,41.5436167,Rotunda Santos da Cunha,-8.432434,0.1460754326387883,2022-04-06 18:50:00
0.990000009536743,7,16,18,6,41.5498311,Sé de Braga,-8.4285616,0.611875005894237,2022-04-06 18:50:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 19:00:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 19:00:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 19:00:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 19:00:00
1.0,28,50,36,39,41.5488151,Estação de Comboios,-8.4336238,0.221111111111111,2022-04-06 19:00:00
1.0,41,93,53,72,41.5556929,Meliá,-8.3992663,0.2261107729762629,2022-04-06 19:00:00
0.930000007152557,31,169,41,128,41.5436167,Rotunda Santos da Cunha,-8.432434,0.22622528677379625,2022-04-06 19:00:00
0.747985386279278,44,88,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.18377227162896057,2022-04-06 19:00:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 19:00:00
0.990000009536743,5,23,17,6,41.5498311,Sé de Braga,-8.4285616,0.7152813368136315,2022-04-06 19:00:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 19:10:00
1.0,37,103,54,71,41.5556929,Meliá,-8.3992663,0.3127472132326501,2022-04-06 19:10:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 19:10:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 19:10:00
0.990000009536743,32,106,49,69,41.5351848,Bosh,-8.437027,0.3445177160642402,2022-04-06 19:10:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 19:10:00
1.0,24,58,37,38,41.5488151,Estação de Comboios,-8.4336238,0.3480894687791239,2022-04-06 19:10:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 19:10:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 19:10:00
0.990000009536743,6,19,17,6,41.5498311,Sé de Braga,-8.4285616,0.6589783345213615,2022-04-06 19:10:00
1.0,42,91,53,72,41.5556929,Meliá,-8.3992663,0.2081691893012647,2022-04-06 19:20:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 19:20:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 19:20:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 19:20:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 19:20:00
1.0,27,52,37,38,41.5488151,Estação de Comboios,-8.4336238,0.2697505197505198,2022-04-06 19:20:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 19:20:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 19:20:00
0.990000009536743,13,8,17,6,41.5498311,Sé de Braga,-8.4285616,0.24022059054935677,2022-04-06 19:20:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 19:20:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 19:30:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 19:30:00
1.0,38,89,48,71,41.5351848,Bosh,-8.437027,0.2052902621722847,2022-04-06 19:30:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 19:30:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 19:30:00
1.0,25,56,37,38,41.5488151,Estação de Comboios,-8.4336238,0.3228764478764478,2022-04-06 19:30:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 19:30:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 19:30:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 19:30:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 19:30:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 19:40:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 19:40:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 19:40:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 19:40:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 19:40:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 19:40:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 19:40:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 19:40:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 19:40:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 19:40:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 19:50:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 19:50:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 19:50:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 19:50:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 19:50:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 19:50:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 19:50:00
0.990000009536743,9,12,19,6,41.5498311,Sé de Braga,-8.4285616,0.5080263206833288,2022-04-06 19:50:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 19:50:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 19:50:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 20:00:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 20:00:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 20:00:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 20:00:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 20:00:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 20:00:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 20:00:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 20:00:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 20:00:00
0.9599999785423272,8,14,17,6,41.5498311,Sé de Braga,-8.4285616,0.528403349533802,2022-04-06 20:00:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 20:10:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 20:10:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 20:10:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 20:10:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 20:10:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 20:10:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 20:10:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 20:10:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 20:10:00
0.930000007152557,9,12,19,6,41.5498311,Sé de Braga,-8.4285616,0.4772368457756543,2022-04-06 20:10:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 20:20:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 20:20:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 20:20:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 20:20:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 20:20:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 20:20:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 20:20:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 20:20:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 20:20:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 20:20:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 20:30:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 20:30:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 20:30:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 20:30:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 20:30:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 20:30:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 20:30:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 20:30:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 20:30:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 20:30:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 20:40:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 20:40:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 20:40:00
